# Constructed from biom file														
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Asteraceae_gen_Incertae_sedis;s__Asteraceae_sp"	0,00	0,00	0,00	178,00	373,00	0,00	0,00	0,00	0,00	74,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Plantago;s__Plantago_lanceolata"	0,00	0,00	0,00	135,00	123,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;__;__;__;__;__"	14,00	0,00	0,00	0,00	0,00	6,00	142,00	0,00	0,00	18,00	1,00	0,00	0,00	16,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Lamiaceae_gen_Incertae_sedis;s__Lamiaceae_sp"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	85,00	54,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;__;__;__"	40,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	85,00
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_butyracea"	0,00	17,00	10,00	7,00	0,00	38,00	17,00	0,00	0,00	14,00	12,00	9,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Onagraceae;g__Epilobium;s__Epilobium_dodonaei"	41,00	33,00	18,00	0,00	19,00	5,00	14,00	33,00	0,00	0,00	9,00	53,00	0,00	21,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Convolvulaceae;g__Convolvulus;__"	0,00	0,00	0,00	40,00	46,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Urticaceae;g__Urticaceae_gen_Incertae_sedis;s__Urticaceae_sp"	54,00	0,00	0,00	0,00	11,00	0,00	0,00	8,00	0,00	9,00	4,00	0,00	0,00	15,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Saxifragales;f__Grossulariaceae;g__Ribes;s__Ribes_graveolens"	129,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	138,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Cicer;s__Cicer_arietinum"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	74,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Convolvulaceae;g__Convolvulaceae_gen_Incertae_sedis;s__Convolvulaceae_sp"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Fragaria;s__Fragaria_nilgerrensis"	0,00	0,00	0,00	30,00	49,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Pyrus;s__Pyrus_communis"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	42,00	27,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Carduus;s__Carduus_nutans"	0,00	0,00	0,00	18,00	19,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Chascolytrum;s__Chascolytrum_erectum"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	37,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Phalaris;s__Phalaris_arundinacea"	45,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Brachypodium;s__Brachypodium_distachyon"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	29,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Gilbertella;s__Gilbertella_persicaria"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	11,00	16,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Spodiopogon;s__Spodiopogon_cotulifer"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	27,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Poa;s__Poa_jubata"	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_hungarica"	0,00	0,00	0,00	0,00	21,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Ericaceae;g__Rhododendron;s__Rhododendron_camtschaticum"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00	5,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae;__;__"	0,00	0,00	0,00	7,00	11,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;__;__;__;__;__"	0,00	0,00	0,00	0,00	11,00	0,00	0,00	0,00	0,00	0,00	11,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Medicago;s__Medicago_scutellata"	0,00	0,00	0,00	26,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;__"	0,00	0,00	0,00	0,00	16,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Dipsacales;f__Caprifoliaceae;g__Caprifoliaceae_gen_Incertae_sedis;s__Caprifoliaceae_sp"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;__"	0,00	0,00	0,00	8,00	6,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Juncaceae;g__Juncus;s__Juncus_conglomeratus"	0,00	0,00	0,00	7,00	7,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium_pullulans"	0,00	0,00	0,00	4,00	7,00	0,00	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Theaceae;g__Camellia;s__Camellia_reticulata"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	13,00	0,00	0,00	0,00	0,00
"k__Metazoa;__;__;__;__;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_exigua"	0,00	0,00	0,00	0,00	10,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Ononis;s__Ononis_nuristanica"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Lapsana;s__Lapsana_communis"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	9,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;__;__"	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae;g__Pseudopestalotiopsis;s__Pseudopestalotiopsis_theae"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Juncaceicola;s__Juncaceicola_alpina"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae"	0,00	0,00	2,00	0,00	0,00	0,00	5,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis_caroliniana"	0,00	0,00	0,00	0,00	4,00	3,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Agropyron;s__Agropyron_fragile"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	7,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Digitaria;__"	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
